file,dimred_method,input_dim,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
32_20nm_01run_10d.txt,UMAP,10,8,10,8,0,20,15564,92,0,0.2108782589779431,-0.5111562314733211,471,3354,0.0299076833370852,-0.0528051879396719,0.4793065218242342
32_20nm_01run_10d.txt,UMAP,10,8,10,10,0,20,15564,59,0,0.1940921565866627,-0.5255744620272701,409,3713,0.0362298803026819,-0.0576466639718586,0.4708741904614483
32_20nm_01run_10d.txt,UMAP,10,8,20,10,0,20,15564,44,0,0.2071259903121335,-0.5640378677433691,206,2473,0.0404009506029493,-0.3054163095909665,0.4160844574235408
32_20nm_01run_10d.txt,UMAP,10,8,20,15,0,20,15564,36,0,0.184098283551103,-0.5840423400635248,185,3365,0.0438413707307063,-0.2490537572636997,0.4318973704426694
32_20nm_01run_10d.txt,UMAP,10,8,20,20,0,20,15564,35,0,0.1937176401861052,-0.6160125717850518,156,3596,0.0489864163521334,-0.214417740757258,0.4205820550059055
32_20nm_01run_10d.txt,UMAP,10,8,30,15,0,20,15564,26,0,0.1606504560897512,-0.5971692419082806,104,2368,0.0543253726228274,-0.4226607797686388,0.3293151647886585
32_20nm_01run_10d.txt,UMAP,10,8,30,22,0,20,15564,29,0,0.2113883963255434,-0.6069350746351124,58,1606,0.0481075461710154,-0.6171092155926601,0.1793178428034838
32_20nm_01run_10d.txt,UMAP,10,8,30,30,0,20,15564,26,0,0.2040110974227426,-0.663608478990938,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,40,20,0,20,15564,26,0,0.2161376709506302,-0.6288376910523519,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,40,30,0,20,15564,22,0,0.1880445288382076,-0.6928944081098453,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,40,40,0,20,15564,22,0,0.1937442588729095,-0.7488159942534423,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,50,25,0,20,15564,20,0,0.1705082638375101,-0.6055435919852925,41,1845,0.0344485819950565,-0.5697479482357019,0.2249520812449186
32_20nm_01run_10d.txt,UMAP,10,8,50,38,0,20,15564,20,0,0.180364589823481,-0.7425575923263469,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,50,50,0,20,15564,15,0,0.1631430030521025,-0.7708204635031974,2,0,-0.0021147425934828,-0.6492532133929576,0.7600162441428951
32_20nm_01run_10d.txt,UMAP,10,8,60,30,0,20,15564,19,0,0.184093723633072,-0.6994214491426053,44,2411,0.0616508166332424,-0.4918802971726415,0.3278375693340826
32_20nm_01run_10d.txt,UMAP,10,8,60,45,0,20,15564,17,0,0.1705738229155414,-0.7382650183104496,14,993,0.0427547429248093,-0.6813395693568002,-0.0386033498456493
32_20nm_01run_10d.txt,UMAP,10,8,60,60,0,20,15564,17,0,0.1805961665911523,-0.7871047466709167,3,56,0.0128241562066892,-0.8398922580977355,-0.7817387501667852
32_20nm_01run_10d.txt,UMAP,10,8,70,35,0,20,15564,15,0,0.1637204145730602,-0.7727144906836996,20,1138,0.0398750367925361,-0.7479499124158557,0.0757324746167978
32_20nm_01run_10d.txt,UMAP,10,8,70,52,0,20,15564,13,0,0.1621622004513054,-0.7730610547745957,29,2279,0.077262195981909,-0.5259851592602419,0.0805559889914586
32_20nm_01run_10d.txt,UMAP,10,8,70,70,0,20,15564,14,0,0.1659757253813877,-0.7594610839744612,24,2319,0.0538814312203627,-0.3721627947058513,0.1176412733799247
32_20nm_01run_10d.txt,UMAP,10,8,80,40,0,20,15564,18,0,0.1887808538275755,-0.7585540454717519,30,2541,0.0652725271888689,-0.4700137611030398,0.2665923807647428
32_20nm_01run_10d.txt,UMAP,10,8,80,60,0,20,15564,14,0,0.1660677755449777,-0.7623446710064201,3,56,0.0128241562066892,-0.8398922580977355,-0.7817387501667852
32_20nm_01run_10d.txt,UMAP,10,8,80,80,0,20,15564,14,0,0.1714093215303709,-0.7994793082932057,21,2041,0.0688640470434211,-0.4854701682628644,0.1407529895599448
32_20nm_01run_10d.txt,UMAP,10,8,90,45,0,20,15564,15,0,0.1577819486144289,-0.6916401778830027,12,901,0.0434482389025229,-0.6753518905674643,-0.0229114163416512
32_20nm_01run_10d.txt,UMAP,10,8,90,68,0,20,15564,14,0,0.1648529771443903,-0.7565786350236076,23,2885,0.0668046922786854,-0.4044319703669239,0.1630753641657124
32_20nm_01run_10d.txt,UMAP,10,8,90,90,0,20,15564,14,0,0.167432778702902,-0.8192885043396784,17,2417,0.0666175965905971,-0.4501175340566458,0.1148165237946216
32_20nm_01run_10d.txt,UMAP,10,8,100,50,0,20,15564,12,0,0.1537661498360339,-0.725780091657598,29,2546,0.0736000803357939,-0.4611163906771944,0.2455551514381015
32_20nm_01run_10d.txt,UMAP,10,8,100,75,0,20,15564,12,0,0.1627499345229993,-0.752979805690269,20,2653,0.0793191264438547,-0.3993683000053492,0.1397618019914346
32_20nm_01run_10d.txt,UMAP,10,8,100,100,0,20,15564,14,0,0.163641114753706,-0.8018530019372069,19,3131,0.0792661124043898,-0.4204147870072262,0.1294296946346763
32_20nm_01run_10d.txt,UMAP,10,10,10,5,0,20,15564,161,0,0.2251169856247469,-0.4307632767201423,528,2732,0.0258557161680927,-0.0882801149404741,0.4614988745755564
32_20nm_01run_10d.txt,UMAP,10,10,10,8,0,20,15564,92,0,0.2108782589779431,-0.5111562314733211,454,3401,0.0327150105982842,-0.068706447921894,0.4675131176082852
32_20nm_01run_10d.txt,UMAP,10,10,10,10,0,20,15564,59,0,0.1940921565866627,-0.5255744620272701,395,3834,0.0281974984533425,-0.0626275012785327,0.4671144238859971
32_20nm_01run_10d.txt,UMAP,10,10,20,10,0,20,15564,44,0,0.2071259903121335,-0.5640378677433691,209,2925,0.0389771840208047,-0.2226207989017917,0.4443621575791311
32_20nm_01run_10d.txt,UMAP,10,10,20,15,0,20,15564,36,0,0.184098283551103,-0.5840423400635248,169,3087,0.0433469009230184,-0.2913650999483284,0.4156331603313736
32_20nm_01run_10d.txt,UMAP,10,10,20,20,0,20,15564,35,0,0.1937176401861052,-0.6160125717850518,130,3129,0.047733251628448,-0.2842601203215354,0.4619412612466
32_20nm_01run_10d.txt,UMAP,10,10,30,15,0,20,15564,26,0,0.1606504560897512,-0.5971692419082806,127,2755,0.0461608247170012,-0.3472566668354668,0.4158526195756795
32_20nm_01run_10d.txt,UMAP,10,10,30,22,0,20,15564,29,0,0.2113883963255434,-0.6069350746351124,2,0,-0.0019513483375203,-0.6460950466545733,0.1376261264875785
32_20nm_01run_10d.txt,UMAP,10,10,30,30,0,20,15564,26,0,0.2040110974227426,-0.663608478990938,62,2335,0.0533566954001527,-0.4302589253102859,0.3379765520891571
32_20nm_01run_10d.txt,UMAP,10,10,40,20,0,20,15564,26,0,0.2161376709506302,-0.6288376910523519,80,2619,0.0521053950982558,-0.3650748067737043,0.4445336405792839
32_20nm_01run_10d.txt,UMAP,10,10,40,30,0,20,15564,22,0,0.1880445288382076,-0.6928944081098453,53,1985,0.0534566907967825,-0.498036180757671,0.3586838717563789
32_20nm_01run_10d.txt,UMAP,10,10,40,40,0,20,15564,22,0,0.1937442588729095,-0.7488159942534423,2,0,0.0117922556927596,-0.9610794746253328,-0.8551755238056554
32_20nm_01run_10d.txt,UMAP,10,10,50,25,0,20,15564,20,0,0.1705082638375101,-0.6055435919852925,61,2376,0.0533952179079449,-0.4271802771940196,0.3169850939877273
32_20nm_01run_10d.txt,UMAP,10,10,50,38,0,20,15564,20,0,0.180364589823481,-0.7425575923263469,3,0,0.0120615567892235,-0.9132102417483752,-0.8136767832135362
32_20nm_01run_10d.txt,UMAP,10,10,50,50,0,20,15564,15,0,0.1631430030521025,-0.7708204635031974,40,2307,0.0556466949407391,-0.4350452281395939,0.402068985081821
32_20nm_01run_10d.txt,UMAP,10,10,60,30,0,20,15564,19,0,0.184093723633072,-0.6994214491426053,41,1533,0.0568165900445669,-0.5245513623748638,0.2807500066829375
32_20nm_01run_10d.txt,UMAP,10,10,60,45,0,20,15564,17,0,0.1705738229155414,-0.7382650183104496,10,409,0.0361358476397161,-0.8387237990453683,-0.4994095500426969
32_20nm_01run_10d.txt,UMAP,10,10,60,60,0,20,15564,17,0,0.1805961665911523,-0.7871047466709167,3,0,0.0345215157825259,-0.9058885332940364,-0.3768894317235458
32_20nm_01run_10d.txt,UMAP,10,10,70,35,0,20,15564,15,0,0.1637204145730602,-0.7727144906836996,2,0,0.0088775492954687,-0.90374600949192,-0.4461707366981737
32_20nm_01run_10d.txt,UMAP,10,10,70,52,0,20,15564,13,0,0.1621622004513054,-0.7730610547745957,25,2015,0.0648789227083435,-0.4281345638627895,0.3519591339179444
32_20nm_01run_10d.txt,UMAP,10,10,70,70,0,20,15564,14,0,0.1659757253813877,-0.7594610839744612,27,2860,0.0694781098585274,-0.2868155999519286,0.4594002303826559
32_20nm_01run_10d.txt,UMAP,10,10,80,40,0,20,15564,18,0,0.1887808538275755,-0.7585540454717519,2,0,0.0117922556927596,-0.9610794746253328,-0.8551755238056554
32_20nm_01run_10d.txt,UMAP,10,10,80,60,0,20,15564,14,0,0.1660677755449777,-0.7623446710064201,3,0,0.0345215157825259,-0.9058885332940364,-0.3768894317235458
32_20nm_01run_10d.txt,UMAP,10,10,80,80,0,20,15564,14,0,0.1714093215303709,-0.7994793082932057,3,0,0.0240988019871272,-0.9650250562892712,-0.7988634159111436
32_20nm_01run_10d.txt,UMAP,10,10,90,45,0,20,15564,15,0,0.1577819486144289,-0.6916401778830027,10,409,0.0361358476397161,-0.8387237990453683,-0.4994095500426969
32_20nm_01run_10d.txt,UMAP,10,10,90,68,0,20,15564,14,0,0.1648529771443903,-0.7565786350236076,22,2075,0.05827877373531,-0.4015869971858602,0.4360460207893394
32_20nm_01run_10d.txt,UMAP,10,10,90,90,0,20,15564,14,0,0.167432778702902,-0.8192885043396784,16,2169,0.0681178671209745,-0.479123198947561,0.3316633250554499
