file,dimred_method,input_dim,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
01045_0nm_01044run_3d.txt,TriMap,3,2,30,30,0,0,9888,34,0,0.1680786553695885,-0.4582454740593438,45,2254,0.2222360655221193,-0.1091472772052159,0.2013608515138835
01045_0nm_01044run_3d.txt,PaCMAP,3,2,30,30,10,0,9888,34,0,0.1680786553695885,-0.4582454740593438,51,1760,0.2820875295710159,-0.2404058826850759,0.2344896526669579
02683_0nm_02682run_3d.txt,tSNE,3,2,30,30,0,0,5918,24,0,0.3825889570641118,-0.3085719989526176,22,188,0.5436360105778502,-0.253292425099443,0.3730114873384803
02683_0nm_02682run_3d.txt,UMAP,3,2,30,30,0,0,5918,24,0,0.3825889570641118,-0.3085719989526176,22,207,0.4441737259710807,-0.5717345942845258,0.3664155535385772
02683_0nm_02682run_3d.txt,TriMap,3,2,30,30,0,0,5918,24,0,0.3825889570641118,-0.3085719989526176,30,988,0.3825488175299296,-0.0874730018982266,0.2959761383944078
02683_0nm_02682run_3d.txt,PaCMAP,3,2,30,30,10,0,5918,24,0,0.3825889570641118,-0.3085719989526176,2,0,0.0248439204823658,-0.9236849433595284,-0.5775664697014219
02993_0nm_02992run_3d.txt,tSNE,3,2,30,30,0,0,6174,26,0,0.1052892837373115,-0.567067682422132,22,348,0.4364428510240481,-0.479015771530642,0.2485027445180172
02993_0nm_02992run_3d.txt,UMAP,3,2,30,30,0,0,6174,26,0,0.1052892837373115,-0.567067682422132,30,354,0.4318652172682193,-0.4037628974649181,0.4901358096054894
02993_0nm_02992run_3d.txt,TriMap,3,2,30,30,0,0,6174,26,0,0.1052892837373115,-0.567067682422132,26,1046,0.340772845606192,-0.307886720632858,0.2092525012945639
02993_0nm_02992run_3d.txt,PaCMAP,3,2,30,30,10,0,6174,26,0,0.1052892837373115,-0.567067682422132,7,88,0.1404930250396723,-0.733798123330164,-0.0289697931157805
03025_0nm_03024run_3d.txt,tSNE,3,2,30,30,0,0,2964,10,0,0.4432351725696615,-0.4811201058888193,6,21,0.7178195538133572,-0.4546659267443319,0.3754391756968482
03025_0nm_03024run_3d.txt,UMAP,3,2,30,30,0,0,2964,10,0,0.4432351725696615,-0.4811201058888193,8,11,0.578038017126698,-0.4274725994017815,0.3998842732538489
03025_0nm_03024run_3d.txt,TriMap,3,2,30,30,0,0,2964,10,0,0.4432351725696615,-0.4811201058888193,6,76,0.3609895358802011,-0.2436593880311475,0.101581529890227
03025_0nm_03024run_3d.txt,PaCMAP,3,2,30,30,10,0,2964,10,0,0.4432351725696615,-0.4811201058888193,4,0,0.5089185011053825,-0.5332233556215606,0.5615244462204056
02122_0nm_02121run_3d.txt,tSNE,3,2,30,30,0,0,6686,12,0,0.400959081921402,-0.6382868692536429,27,426,0.5931032369004811,-0.3483060025169449,0.3059158928884094
02122_0nm_02121run_3d.txt,UMAP,3,2,30,30,0,0,6686,12,0,0.400959081921402,-0.6382868692536429,24,290,0.4338247615364692,-0.5914764630853013,0.4084464839357657
02122_0nm_02121run_3d.txt,TriMap,3,2,30,30,0,0,6686,12,0,0.400959081921402,-0.6382868692536429,21,617,0.4970960244609627,-0.3601709553589258,0.0936004933361658
02122_0nm_02121run_3d.txt,PaCMAP,3,2,30,30,10,0,6686,12,0,0.400959081921402,-0.6382868692536429,8,52,0.3361736652644365,-0.5300889170123331,0.0901377021023634
00158_0nm_00157run_3d.txt,tSNE,3,2,30,30,0,0,5758,17,0,0.2942751057090036,-0.6435955916311906,21,342,0.506255891950346,-0.4963564598580011,0.3966818205541715
00158_0nm_00157run_3d.txt,UMAP,3,2,30,30,0,0,5758,17,0,0.2942751057090036,-0.6435955916311906,16,172,0.4491460159537213,-0.471772278045435,0.4356928327486573
00158_0nm_00157run_3d.txt,TriMap,3,2,30,30,0,0,5758,17,0,0.2942751057090036,-0.6435955916311906,18,771,0.4774228338660021,-0.1999900217667879,0.1700847695724347
00158_0nm_00157run_3d.txt,PaCMAP,3,2,30,30,10,0,5758,17,0,0.2942751057090036,-0.6435955916311906,3,0,0.0112188336456081,-0.9567599219928244,-0.720668990111153
01555_0nm_01554run_3d.txt,tSNE,3,2,30,30,0,0,9210,30,0,0.1618320068253854,-0.4992063418344303,29,322,0.598611905392007,-0.4750586525260082,0.4518310125188235
01555_0nm_01554run_3d.txt,UMAP,3,2,30,30,0,0,9210,30,0,0.1618320068253854,-0.4992063418344303,44,397,0.3890156987356322,-0.438968382173884,0.5025985393998363
01555_0nm_01554run_3d.txt,TriMap,3,2,30,30,0,0,9210,30,0,0.1618320068253854,-0.4992063418344303,45,2082,0.2903374378134972,-0.1572169321553191,0.2474483737883154
01555_0nm_01554run_3d.txt,PaCMAP,3,2,30,30,10,0,9210,30,0,0.1618320068253854,-0.4992063418344303,65,1907,0.2237106146439719,-0.1887332850019011,0.4245998707558063
01177_0nm_01176run_3d.txt,tSNE,3,2,30,30,0,0,8848,20,0,0.2175233638768788,-0.6226824486228315,17,0,0.4061735393295855,-0.7805126201184431,0.188477280794787
01177_0nm_01176run_3d.txt,UMAP,3,2,30,30,0,0,8848,20,0,0.2175233638768788,-0.6226824486228315,40,769,0.3694916845346088,-0.5013065064508929,0.4858599969486679
01177_0nm_01176run_3d.txt,TriMap,3,2,30,30,0,0,8848,20,0,0.2175233638768788,-0.6226824486228315,43,2150,0.2245966165067634,-0.2017337058319543,0.2758628849597174
01177_0nm_01176run_3d.txt,PaCMAP,3,2,30,30,10,0,8848,20,0,0.2175233638768788,-0.6226824486228315,2,0,0.012092725038807,-0.9796332109133874,-0.7029815575429791
01824_0nm_01823run_3d.txt,tSNE,3,2,30,30,0,0,9906,24,0,0.3478688637292081,-0.4972189910857184,17,17,0.4873278657998415,-0.6418597241793786,0.1639193443504787
